 1.000000e+00 -3.366779e+01  1.000000e+00 -1.573081e+00 
 1.023293e+00 -3.346779e+01  1.023293e+00 -1.573135e+00 
 1.047129e+00 -3.326779e+01  1.047129e+00 -1.573189e+00 
 1.071519e+00 -3.306779e+01  1.071519e+00 -1.573245e+00 
 1.096478e+00 -3.286780e+01  1.096478e+00 -1.573302e+00 
 1.122018e+00 -3.266780e+01  1.122018e+00 -1.573360e+00 
 1.148154e+00 -3.246780e+01  1.148154e+00 -1.573420e+00 
 1.174898e+00 -3.226780e+01  1.174898e+00 -1.573481e+00 
 1.202264e+00 -3.206780e+01  1.202264e+00 -1.573544e+00 
 1.230269e+00 -3.186780e+01  1.230269e+00 -1.573608e+00 
 1.258925e+00 -3.166780e+01  1.258925e+00 -1.573673e+00 
 1.288250e+00 -3.146781e+01  1.288250e+00 -1.573740e+00 
 1.318257e+00 -3.126781e+01  1.318257e+00 -1.573809e+00 
 1.348963e+00 -3.106781e+01  1.348963e+00 -1.573879e+00 
 1.380384e+00 -3.086781e+01  1.380384e+00 -1.573951e+00 
 1.412538e+00 -3.066781e+01  1.412538e+00 -1.574024e+00 
 1.445440e+00 -3.046782e+01  1.445440e+00 -1.574099e+00 
 1.479108e+00 -3.026782e+01  1.479108e+00 -1.574176e+00 
 1.513561e+00 -3.006782e+01  1.513561e+00 -1.574255e+00 
 1.548817e+00 -2.986782e+01  1.548817e+00 -1.574336e+00 
 1.584893e+00 -2.966783e+01  1.584893e+00 -1.574418e+00 
 1.621810e+00 -2.946783e+01  1.621810e+00 -1.574502e+00 
 1.659587e+00 -2.926783e+01  1.659587e+00 -1.574589e+00 
 1.698244e+00 -2.906783e+01  1.698244e+00 -1.574677e+00 
 1.737801e+00 -2.886784e+01  1.737801e+00 -1.574767e+00 
 1.778279e+00 -2.866784e+01  1.778279e+00 -1.574860e+00 
 1.819701e+00 -2.846784e+01  1.819701e+00 -1.574954e+00 
 1.862087e+00 -2.826785e+01  1.862087e+00 -1.575051e+00 
 1.905461e+00 -2.806785e+01  1.905461e+00 -1.575150e+00 
 1.949845e+00 -2.786785e+01  1.949845e+00 -1.575252e+00 
 1.995262e+00 -2.766786e+01  1.995262e+00 -1.575356e+00 
 2.041738e+00 -2.746786e+01  2.041738e+00 -1.575462e+00 
 2.089296e+00 -2.726787e+01  2.089296e+00 -1.575571e+00 
 2.137962e+00 -2.706787e+01  2.137962e+00 -1.575682e+00 
 2.187762e+00 -2.686788e+01  2.187762e+00 -1.575796e+00 
 2.238721e+00 -2.666788e+01  2.238721e+00 -1.575912e+00 
 2.290868e+00 -2.646789e+01  2.290868e+00 -1.576031e+00 
