 1.000000e+00 -7.145560e+01  1.000000e+00 -2.929167e-02 
 1.023293e+00 -7.105569e+01  1.023293e+00 -2.946742e-02 
 1.047129e+00 -7.065578e+01  1.047129e+00 -2.965879e-02 
 1.071519e+00 -7.025587e+01  1.071519e+00 -2.986588e-02 
 1.096478e+00 -6.985596e+01  1.096478e+00 -3.008878e-02 
 1.122018e+00 -6.945605e+01  1.122018e+00 -3.032764e-02 
 1.148154e+00 -6.905615e+01  1.148154e+00 -3.058256e-02 
 1.174898e+00 -6.865625e+01  1.174898e+00 -3.085368e-02 
 1.202264e+00 -6.825635e+01  1.202264e+00 -3.114115e-02 
 1.230269e+00 -6.785646e+01  1.230269e+00 -3.144511e-02 
 1.258925e+00 -6.745657e+01  1.258925e+00 -3.176573e-02 
 1.288250e+00 -6.705669e+01  1.288250e+00 -3.210318e-02 
 1.318257e+00 -6.665680e+01  1.318257e+00 -3.245764e-02 
 1.348963e+00 -6.625693e+01  1.348963e+00 -3.282928e-02 
 1.380384e+00 -6.585705e+01  1.380384e+00 -3.321832e-02 
 1.412538e+00 -6.545718e+01  1.412538e+00 -3.362494e-02 
 1.445440e+00 -6.505732e+01  1.445440e+00 -3.404937e-02 
 1.479108e+00 -6.465746e+01  1.479108e+00 -3.449183e-02 
 1.513561e+00 -6.425761e+01  1.513561e+00 -3.495256e-02 
 1.548817e+00 -6.385776e+01  1.548817e+00 -3.543179e-02 
 1.584893e+00 -6.345792e+01  1.584893e+00 -3.592978e-02 
 1.621810e+00 -6.305809e+01  1.621810e+00 -3.644678e-02 
 1.659587e+00 -6.265826e+01  1.659587e+00 -3.698308e-02 
 1.698244e+00 -6.225844e+01  1.698244e+00 -3.753896e-02 
 1.737801e+00 -6.185863e+01  1.737801e+00 -3.811470e-02 
 1.778279e+00 -6.145883e+01  1.778279e+00 -3.871061e-02 
 1.819701e+00 -6.105903e+01  1.819701e+00 -3.932700e-02 
 1.862087e+00 -6.065925e+01  1.862087e+00 -3.996420e-02 
 1.905461e+00 -6.025947e+01  1.905461e+00 -4.062254e-02 
 1.949845e+00 -5.985971e+01  1.949845e+00 -4.130236e-02 
 1.995262e+00 -5.945995e+01  1.995262e+00 -4.200403e-02 
 2.041738e+00 -5.906020e+01  2.041738e+00 -4.272791e-02 
 2.089296e+00 -5.866047e+01  2.089296e+00 -4.347438e-02 
 2.137962e+00 -5.826075e+01  2.137962e+00 -4.424383e-02 
